Career;Characteristics;Skills;Talents;Status;,,,,,,,,,,,,,,,,
Artisan 3;Wp;Intuition, Leadership, Research, Secret Signs (Guilder) ;Acute Sense (Taste or Touch), Master Tradesman (Any), Read/Write, Tinker;Silver 3;,,,,,,,,,,
Artisan 4;Int;Bribery, Intimidate;Briber, Magnum Opus, Public Speaker, Schemer ;Gold 1;,,,,,,,,,,,,
Beggar 1;T, Agi, Fel;Athletics, Charm, Consume Alcohol, Cool, Dodge, Endurance, Intuition, Stealth (Urban);Panhandle, Resistance (Disease), Stone Soup, Very Resilient;Brass 0;,,,,
Beggar 2;Wp;Entertain (Acting), Entertain (Any), Gossip, Haggle, Perception, Sleight of Hand;Alley Cat, Beneath Notice, Criminal, Etiquette (Criminals);Brass 2;,,,,,,,,
Beggar 3;Ws;Charm Animal, Leadership, Lore (Local), Secret Signs (Vagabond);Blather, Dirty Fighting, Hardy, Step Aside ;Brass 4;,,,,,,,,,,
Beggar 4;I;Bribery, Intimidate;Cat-tongued, Fearless (Watchmen), Kingpin, Suave ;Silver 2;,,,,,,,,,,,,
Investigator 1;I, Agi, Int;Charm, Climb, Cool, Gossip, Intuition, Perception, Stealth (Urban), Track;Alley Cat, Beneath Notice, Read/Write, Sharp ;Silver 1;,,,,
Investigator 2;Fel;Consume Alcohol, Dodge, Lore (Law), Melee (Brawling), Pick Lock, Sleight of Hand ;Etiquette (Any), Savvy, Shadow, Tenacious ;Silver 2;,,,,,,,,
Investigator 3;Dex;Bribery, Evaluate, Leadership, Lore (Any) ;Bookish, Break and Enter, Sixth Sense, Suave ;Silver 3;,,,,,,,,,,
Investigator 4;Wp;Intimidate, Lore (any);Acute Sense (Any), Savant (Any), Speedreader, Tower of Memories;Silver 5;,,,,,,,,,,,,
Merchant 1;Ws, Agi, Fel;Animal Care, Bribery, Charm, Consume Alcohol, Drive, Gamble, Gossip, Haggle;Blather, Dealmaker, Read/Write, Suave ;Silver 2;,,,,
Merchant 2;Int;Evaluate, Intuition, Language (Any), Language (Guilder), Lore (Local), Perception;Briber, Embezzle, Etiquette (Guilder), Savvy ;Silver 5;,,,,,,,,
Merchant 3;I;Cool, Language (Classical), Navigation, Secret Signs (Guilder);Cat-tongued, Etiquette (Any), Numismatics, Sharp ;Gold 1;,,,,,,,,,,
Merchant 4;Wp;Lore (Any), Intimidate;Iron Will, Luck, Schemer, Wealthy;Gold 3;,,,,,,,,,,,,
Rat Catcher 1;Ws, Bs, Wp;Athletics, Animal Training (Dog), Charm Animal, Consume Alcohol, Endurance, Melee (Basic), Ranged (Sling), Stealth (Underground or Urban);Night Vision, Resistance (Disease), Strike Mighty Blow, Strike to Stun;Brass 3;,,,,
Rat Catcher 2;T;Animal Care, Gossip, Haggle, Lore (Poison), Perception, Set Trap;Enclosed Fighter, Etiquette (Guilder), Fearless (Rats), Very Resilient;Silver 1;,,,,,,,,
Rat Catcher 3;I;Climb, Cool, Dodge, Ranged (Crossbow Pistol) ;Hardy, Stout-hearted, Strong Legs, Tunnel Rat ;Silver 2;,,,,,,,,,,
Rat Catcher 4;S;Leadership,Track;Fearless (Skaven), Menacing, Robust, Strong-minded;Silver 3;,,,,,,,,,,,,
Townsman 1;Agi, Int, Fel;Charm, Climb, Consume Alcohol, Drive, Dodge, Gamble, Gossip, Haggle;Alley Cat, Beneath Notice, Etiquette (Servants), Sturdy;Silver 1;,,,,
Townsman 2;I;Bribery, Evaluate, Intuition, Lore (Local), Melee (Brawling), Play (Any);Dealmaker, Embezzle, Etiquette (Any), Gregarious ;Silver 2;,,,,,,,,
Townsman 3;Dex;Cool, Lore (Law), Perception, Research;Briber, Public Speaker, Read/Write, Supportive ;Silver 5;,,,,,,,,,,
Townsman 4;Wp;Lore (Politics), Intimidate;Commanding Presence, Master Orator, Schemer, Suave;Gold 1;,,,,,,,,,,,,
Watchman 1;Ws, S, Fel;Athletics, Climb, Consume Alcohol, Dodge, Endurance, Gamble, Melee (Any), Perception ;Drilled, Hardy, Strike to Stun, Tenacious ;Brass 3;,,,,
Watchman 2;Wp;Charm, Cool, Gossip, Intimidate, Intuition, Lore (Local);Break and Enter, Criminal, Night Vision, Sprinter ;Silver 1;,,,,,,,,
Watchman 3;I;Entertain (Storytelling), Haggle, Leadership, Lore (Law);Disarm, Etiquette (Soldiers), Fearless (Criminals), Nose for Trouble;Silver 3;,,,,,,,,,,
Watchman 4;Int;Lore (Politics), Ride (Horse);Public Speaker, Robust, Kingpin, Schemer ;Gold 1;,,,,,,,,,,,,
Advisor 1;T, I, Agi;Bribery, Consume Alcohol, Endurance, Gossip, Haggle, Language (Classical), Lore (Politics), Perception ;Beneath Notice, Etiquette (Any), Gregarious, Read/Write;Silver 2;,,,,
Advisor 2;Fel;Charm, Cool, Evaluate, Gamble, Intuition, Lore (Local);Blather, Criminal, Schemer, Supportive ;Silver 4;,,,,,,,,
Advisor 3;Int;Entertain (Storytelling), Leadership, Language (Any), Lore (Any);Argumentative, Briber, Carouser, Cat-tongued ;Gold 1;,,,,,,,,,,
Advisor 4;Wp;Lore (Heraldry), Ride (Horse);Commanding Presence, Embezzle, Kingpin, Suave ;Gold 3;,,,,,,,,,,,,
Artist 1;S, I, Dex;Art (Any), Cool, Consume Alcohol, Evaluate, Endurance, Gossip, Perception, Stealth (Urban) ;Artistic, Sharp, Strong Back, Tenacious ;Silver 1;,,,,
Artist 2;Fel;Climb, Gamble, Haggle, Intuition, Language (Classical), Sleight of Hand, Trade (Art Supplies);Carouser, Criminal, Gregarious, Nimble Fingered ;Silver 3;,,,,,,,
Artist 3;Wp;Charm, Leadership, Lore (Art), Lore (Heraldry) ;Acute Sense (Any), Dealmaker, Etiquette (any), Nose for Trouble;Silver 5;,,,,,,,,,,
Artist 4;Int;Research, Ride (Horse);Ambidextrous, Kingpin, Magnum Opus, Read/Write ;Gold 2;,,,,,,,,,,,,
Duellist 1;Ws, I, Agi;Athletics, Dodge, Endurance, Heal, Intuition, Language (Classical), Melee (Any), Perception ;Beat Blade, Distract, Feint, Step Aside ;Silver 3;,,,,
Duellist 2;Bs;Charm, Cool, Gamble, Melee (Parry), Ranged (Blackpowder), Trade (Gunsmith);Combat Reflexes, Etiquette (Any), Fast Shot, Reversal;Silver 5;,,,,,,,,
Duellist 3;S;Intimidate, Leadership, Melee (Basic), Perform (Acrobatics);Ambidextrous, Disarm, Dual Wielder, Riposte ;Gold 1;,,,,,,,,,,
Duellist 4;Wp;Lore (Law), Melee (Any);Combat Master, Menacing, Reaction Strike, Strike to Injure;Gold 3;,,,,,,,,,,,,
Envoy 1;T, Agi, Fel;Athletics, Charm, Drive, Dodge, Endurance, Intuition, Ride (Horse), Row;Blather, Etiquette (Nobles), Read/Write, Suave ;Silver 2;,,,,
Envoy 2;Int;Art (Writing), Bribe, Cool, Gossip, Haggle, Lore (Politics);Attractive, Cat-tongued, Etiquette (any), Seasoned Traveller;Silver 4;,,,,,,,,
Envoy 3;I;Intimidate, Language (Any), Leadership, Navigation ;Carouser, Dealmaker, Gregarious, Schemer ;Gold 2;,,,,,,,,,,
Envoy 4;Wp;Language (Any), Lore (Any);Briber, Commanding Presence, Noble Blood, Savvy ;Gold 5;,,,,,,,,,,,,
Noble 1;Ws, I, Dex;Bribery, Consume Alcohol, Gamble, Intimidate, Leadership, Lore (Heraldry), Melee (Fencing), Play (Any) ;Etiquette (Nobles), Luck, Noble Blood, Read/Write ;Gold 1;,,,,
Noble 2;Fel;Charm, Gossip, Language (Classical), Lore (Local), Ride (Horse), Melee (Parry);Attractive, Briber, Carouser, Suave;Gold 3;,,,,,,,,
Noble 3;Int;Language (Any), Intuition, Lore (Politics), Perception ;Coolheaded, Dealmaker, Public Speaker, Schemer ;Gold 5;,,,,,,,,,,
Noble 4;Wp;Lore (Any), Track;Commanding Presence, Iron Will, Warleader, Wealthy;Gold 7;,,,,,,,,,,,,
Servant 1;S, T, Agi;Athletics, Climb, Drive, Dodge, Endurance, Intuition, Perception, Stealth (Any);Beneath Notice, Strong Back, Strong-minded, Sturdy;Silver 1;,,,,
Servant 2;I;Animal Care, Consume Alcohol, Evaluate, Gamble, Gossip, Haggle;Etiquette (Servants), Shadow, Tenacious, Well- prepared;Silver 3;,,,,,,,,
Servant 3;Int;Charm, Cool, Intimidate, Lore (Local);Embezzle, Resistance (Poison), Suave, Supportive ;Silver 5;,,,,,,,,,,
Servant 4;Fel;Leadership, Melee (Basic);Etiquette (any), Numismatics, Read/Write, Savvy ;Gold 1;,,,,,,,,,,,,
Spy 1;Agi, Wp, Fel;Bribery, Charm, Cool, Gamble, Gossip, Haggle, Perception, Stealth (Any);Blather, Carouser, Gregarious, Shadow ;Brass 3;,,,,
Spy 2;Ws;Climb, Entertain (Act), Intuition, Melee (Basic), Secret Signs (Any), Sleight of Hand;Etiquette (Any), Lip Reading, Read/Write, Secret Identity;Silver 3;,,,,,,,,
Spy 3;I;Animal Care, Animal Training (Pigeon), Language (Any), Leadership;Attractive, Cat-tongued, Master of Disguise, Mimic ;Gold 1;,,,,,,,,,,
Spy 4;Int;Lore (Any), Research;Briber, Schemer, Suave, Tower of Memories ;Gold 4;,,,,,,,,,,,,
Warden 1;S, T, Wp;Athletics, Charm Animal, Consume Alcohol, Cool, Endurance, Intuition, Lore (Local), Perception;Menacing, Night Vision, Sharp, Strike to Stun ;Silver 1;,,,,
Warden 2;Ws;Animal Care, Melee (Basic), Outdoor Survival, Ranged (Bow), Ride (Horse), Swim;Animal Affinity, Etiquette (Servants), Strider (any), Rover;Silver 3;,,,,,,,,
Warden 3;Fel;Bribery, Charm, Gossip, Leadership;Embezzle, Numismatics, Read/Write, Supportive ;Gold 1;,,,,,,,,,,
Warden 4;Int;Evaluate, Language (Any);Commanding Presence, Etiquette (any), Savant (local), Suave;Gold 3;,,,,,,,,,,,,
Bailiff 1;Ws, I, Wp;Cool, Dodge, Endurance, Gossip, Haggle, Intimidate, Melee, Perception;Embezzle, Numismatics, Strong Back, Tenacious ;Silver 1;,,,,
Bailiff 2;Fel;Bribery, Charm, Evaluate, Intuition, Leadership, Lore (Local);Break and Enter, Criminal, Public Speaking, Strike to Stun;Silver 5;,,,,,,,,
Bailiff 3;Agi;Animal Care, Lore (Heraldry), Navigation, Ride (Horse);Kingpin, Menacing, Nose for Trouble, Read/Write ;Gold 1;,,,,,,,,,,
Bailiff 4;Int;Language (Classical), Lore (Law);Commanding Presence, Iron Will, Savvy, Schemer ;Gold 3;,,,,,,,,,,,,
Hedge Witch 1;T, I, Dex;Channelling, Endurance, Intuition, Language (Magick), Lore (Folklore), Lore (Herbs), Outdoor Survival, Perception ;Fast Hands, Petty Magic, Rover, Strider (Woodlands) ;Brass 1;,,,,
Hedge Witch 2;Int;Cool, Gossip, Heal, Lore (Local), Trade (Charms), Trade (Herbalist);Aethyric Attunement, Animal Affinity, Arcane Magic (Hedgecraft), Sixth Sense;Brass 2;,,,,,,,,
Hedge Witch 3;Fel;Haggle,Lore(Genealogy),Lore(Magic),Lore (Spirits);Craftsman (Herbalist), Magical Sense, Pure Soul, Resistance (Disease);Brass 3;,,,,,,,,,,
Hedge Witch 4;Wp;Intimidate, Pray;Acute Sense (Any), Master Craftsman (Herbalist), Night Vision, Strong-minded;Brass 5;,,,,,,,,,,,,
Herbalist 1;T, I, Agi;Charm Animal, Climb, Endurance, Lore (Herbs), Outdoor Survival, Perception, Swim, Trade (Herbalist) ;Acute Sense (Taste), Orientation, Rover, Strider (any);Brass 2;,,,,
Herbalist 2;Dex;Consume Alcohol, Cool, Gossip, Haggle, Heal, Lore (Local);Dealmaker, Nimble Fingered, Sharp, Sturdy ;Brass 4;,,,,,,,,
Herbalist 3;Fel;Intuition, Leadership, Lore (Medicine), Trade (Poisons);Craftsman (Herbalist), Field Dressing, Hardy, Savvy;Silver 1;,,,,,,,,,,
Herbalist 4;Int;Drive, Navigation;Concoct, Master Tradesman (Herbalist), Resistance (Poison), Savant (Herbs);Silver 3;,,,,,,,,,,,,
Hunter 1;S, T, Dex;Charm Animal, Climb, Endurance, Lore (Beasts), Outdoor Survival, Perception, Ranged (Bow), Set Trap ;Hardy, Rover, Strider (any), Trapper;Brass 2;,,,,
Hunter 2;Bs;Cool, Intuition, Melee (Basic), Ranged (Sling), Secret Signs (Hunter), Stealth (Rural);Accurate Shot, Fast Shot, Hunter’s Eye, Marksman ;Brass 4;,,,,,,,,
Hunter 3;I;Navigation, Ride (Horse), Swim, Track ;Acute Sense (any), Deadeye Shot, Fearless (Animals), Sharpshooter;Silver 1;,,,,,,,,,,
Hunter 4;Int;Animal Care, Animal Training (Any);Fearless (Monsters), Robust, Sniper, Sure Shot ;Silver 3;,,,,,,,,,,,,
Miner 1;S, T, Wp;Cool, Endurance, Intuition, Lore (Local), Melee (Two-handed), Outdoor Survival, Perception, Swim ;Rover, Strider (Rocky), Sturdy, Tenacious ;Brass 2;,,,,
Miner 2;Ws;Climb, Consume Alcohol, Evaluate, Melee (Basic), Secret Signs (Miner), Trade (Explosives);Night Vision, Strike Mighty Blow, Strong Back, Very Strong;Brass 4;,,,,,,,,
Miner 3;I;Gossip, Lore (Geology), Stealth (Underground), Trade (Engineer);Careful Strike, Craftsman (Explosives), Tinker, Tunnel Rat;Brass 5;,,,,,,,,,,
Miner 4;Fel;Charm, Leadership;Argumentative, Strong-minded, Embezzle, Read/ Write;Silver 4;,,,,,,,,,,,,
Mystic 1;I, Dex, Fel;Charm, Entertain (Fortune Telling), Dodge, Gossip, Haggle, Intuition, Perception, Sleight of Hand;Attractive, Luck, Second Sight, Suave;Brass 1;,,,,
Mystic 2;Wp;Bribery, Cool, Entertain (Prophecy), Evaluate, Intimidate, Lore (Astrology);Detect Artefact, Holy Visions, Sixth Sense, Well-prepared;Brass 2;,,,,,,,,
Mystic 3;Agi;Charm Animal, Entertain (Storytelling), Language (Any), Trade (Writing);Nose for Trouble, Petty Magic, Read/ Write, Witch!;Brass 3;,,,,,,,,,,
Mystic 4;Int;Lore (Prophecy), Channelling (Azyr) ;Arcane Magic (Celestial), Magical Sense, Menacing, Strong-minded ;Brass 4;,,,,,,,,,,,,
Scout 1;T, I, Agi;Charm Animal, Climb, Endurance, Gossip, Lore (Local), Melee (Basic), Outdoor Survival, Perception ;Orientation, Rover, Sharp, Strider (any) ;Brass 3;,,,,
Scout 2;Bs;Athletics, Navigation, Ranged (Bow), Ride (Horse), Stealth (Rural), Track;Combat Aware, Night Vision, Nose for Trouble, Seasoned Traveller;Brass 5;,,,,,,,,
Scout 3;Int;Animal Care, Haggle, Secret Signs (Hunter), Swim;Acute Sense (Sight), Sixth Sense, Strong Legs, Very Resilient;Silver 1;,,,,,,,,,,
Scout 4;Dex;Language (any), Trade (Cartographer);Hardy, Linguistics, Savant (Local), Tenacious ;Silver 5;,,,,,,,,,,,,
Villager 1;S, T, Agi;Animal Care, Athletics, Consume Alcohol, Endurance, Gossip, Melee (Brawling), Lore (Local), Outdoor Survival;Rover, Strong Back, Strong-minded, Stone Soup ;Brass 2;,,,,
Villager 2;Ws;Drive, Entertain (Storytelling), Haggle, Melee (Basic), Trade (Any) ;Animal Affinity, Hardy, Tenacious, Very Strong;Brass 3;,,,,,,,,,
Villager 3;Fel;Bribery, Charm, Intimidate, Leadership;Craftsman (Any), Dealmaker, Stout-hearted, Very Resilient;Brass 4;,,,,,,,,,,
Villager 4;Int;Intuition, Lore (History);Master Tradesman (Any), Nimble Fingered, Public Speaker, Savant (Local);Silver 2;,,,,,,,,,,,,
Bounty Hunter 1;Ws, T, Agi;Bribery, Charm, Gossip, Haggle, Intuition, Melee (Basic), Outdoor Survival, Perception;Break and Enter, Shadow, Strike to Stun, Suave ;Silver 1;,,,,
Bounty Hunter 2;Bs;Athletics, Endurance, Intimidate, Ranged (Crossbow), Ranged (Entangling), Track;Marksman, Relentless, Seasoned Traveller, Strong Back;Silver 3;,,,,,,,,
Bounty Hunter 3;S;Animal Care, Climb, Ride (Horse), Swim ;Accurate Shot, Careful Strike, Dual Wielder, Sprinter;Silver 5;,,,,,,,,,,
Bounty Hunter 4;Int;Drive, Lore (Law);Deadeye Shot, Fearless (Bounties), Hardy, Sure Shot ;Gold 1;,,,,,,,,,,,,
Coachman 1;Bs, T, Wp;Animal Care, Charm Animal, Climb, Drive, Endurance, Perception, Ranged (Entangling), Ride (Horse) ;Animal Affinity, Seasoned Traveller, Trick-Riding, Tenacious;Silver 1;,,,,
Coachman 2;Agi;Consume Alcohol, Gossip, Intuition, Lore (Local), Navigation, Ranged (Blackpowder);Coolheaded, Crack the Whip, Gunner, Strong- minded;Silver 2;,,,,,,,,
Coachman 3;Ws;Animal Training (Horse), Intimidation, Language (any), Lore (Routes);Accurate Shot, Dealmaker, Fearless (Outlaws), Nose for Trouble;Silver 3;,,,,,,,,,,
Coachman 4;I;Charm, Leadership;Fearless (Beastmen), Marksman, Orientation, Rapid Reload;Silver 5;,,,,,,,,,,,,
Entertainer 1;Agi, Dex, Fel;Athletics, Charm, Entertain (Any), Gossip, Haggle, Perform (Any), Play (any), Sleight of Hand;Attractive, Mimic, Public-Speaking, Suave ;Brass 3;,,,,
Entertainer 2;Ws;Entertain (Any), Ride (Any), Melee (Basic), Perform (Any), Play (Any) Ranged (Throwing);Contortionist, Jump Up, Sharpshooter, Trick Riding ;Brass 5;,,,,,,,,,
Entertainer 3;Bs;Animal Care, Animal Training, Art (Writing), Language (Any);Blather, Master of Disguise, Perfect Pitch, Read/ Write;Silver 3;,,,,,,,,,,
Entertainer 4;T;Drive, Leadership;Dealmaker, Etiquette (Any), Seasoned Traveller, Sharp;Gold 1;,,,,,,,,,,,,
Flagellant 1;Ws, S, T;Dodge, Endurance, Heal, Intimidate, Intuition, Lore (Sigmar), Melee (Flail), Outdoor Survival;Berserk Charge, Frenzy, Read/Write, Stone Soup ;Brass 0;,,,,
Flagellant 2;Wp;Art (Icons), Athletics, Cool, Language (Classical), Lore (The Empire), Ranged (Sling) ;Hardy, Hatred (Heretics), Flagellant, Implacable;Brass 0;,,,,,,,,
Flagellant 3;I;Charm, Language (any), Lore (Theology), Perception ;Field Dressing, Furious Assault, Menacing, Seasoned Traveller;Brass 0;,,,,,,,,,,
Flagellant 4;Fel;Entertain (Speeches), Leadership;Battle Rage, Fearless (Heretics), Frightening, Impassioned Zeal;Brass 0;,,,,,,,,,,,,
Messenger 1;T, I, Agi;Athletics, Climb, Dodge, Endurance, Gossip, Navigation, Perception, Melee (Brawling) ;Flee!, Fleet Footed, Sprinter, Step Aside ;Brass 3;,,,,
Messenger 2;Ws;Animal Care, Charm, Cool, Lore (Local), Melee (Basic), Ride (Horse);Crack the Whip, Criminal, Orientation, Seasoned Traveller;Silver 1;,,,,,,,,
Messenger 3;Wp;Charm Animal, Bribery, Consume Alcohol, Outdoor Survival;Nose for Trouble, Relentless, Tenacious, Trick Rider;Silver 3;,,,,,,,,,,
Messenger 4;Fel;Intimidate, Leadership;Dealmaker, Hatred (Outlaws), Kingpin, Very Resilient;Silver 5;,,,,,,,,,,,,
Pedlar 1;T, Dex, Wp;Charm, Endurance, Entertain (Storytelling), Gossip, Haggle, Intuition, Outdoor Survival, Stealth (Rural or Urban) ;Fisherman, Flee!, Rover, Tinker;Brass 1;,,,,
Pedlar 2;Fel;Animal Care, Charm Animal, Consume Alcohol, Evaluate, Ride (Horse), Trade (Tinker);Dealmaker, Orientation, Seasoned Traveller, Strong Back;Brass 4;,,,,,,,,
Pedlar 3;I;Drive, Intimidate, Language (any), Perception ;Numismatics, Sharp, Sturdy, Well-prepared, Very Resilient;Silver 1;,,,,,,,,,
Pedlar 4;Int;Lore (Local), Lore (Geography);Cat-tongued, Strong-minded, Suave, Tenacious ;Silver 3;,,,,,,,,,,,,
Road Warden 1;Bs, T, I;Bribery, Consume Alcohol, Gamble, Gossip, Haggle, Melee (Basic), Perception, Ranged (Crossbow) ;Coolheaded, Embezzle, Marksman, Numismatics;Brass 5;,,,,
Road Warden 2;Ws;Animal Care, Endurance, Intimidate, Intuition, Outdoor Survival, Ride (Horse);Crack the Whip, Criminal, Roughrider, Seasoned Traveller;Silver 2;,,,,,,,,
Road Warden 3;Fel;Athletics, Charm, Leadership, Ranged (Blackpowder) ;Etiquette (Soldiers), Fearless (Outlaws), Hatred (any), Nose for Trouble;Silver 4;,,,,,,,,,,
Road Warden 4;Int;Lore (Empire), Navigation;Combat Aware, Commanding Presence, Kingpin, Public Speaker;Gold 1;,,,,,,,,,,,,
Witch Hunter 1;Ws, T, Wp;Charm, Consume Alcohol, Heal, Intimidate, Intuition, Lore (Torture), Melee (Fist), Perception ;Coolheaded, Menacing, Read/Write, Resolute ;Silver 1;,,,,
Witch Hunter 2;Bs;Cool, Dodge, Gossip, Lore (Witches), Ranged (Any), Ride (Horse);Dual Wielder, Marksman, Seasoned Traveller, Shadow;Silver 3;,,,,,,,,
